url,name,province,city,qu,jiedao,starturl
http://www.ahjgbzw.gov.cn/main/,省编办,安徽省,,,,http://www.ahjgbzw.gov.cn/main/
http://www.ahpc.gov.cn/,省发改委,安徽省,,,,http://www.ahpc.gov.cn/
http://www.ahedu.gov.cn/,省教育厅,安徽省,,,,http://www.ahedu.gov.cn/
http://www.ahkjt.gov.cn/technologi/index.htm,省科技厅,安徽省,,,,http://www.ahkjt.gov.cn/technologi/index.htm
http://www.aheic.gov.cn/,省经济和信息化委,安徽省,,,,http://www.aheic.gov.cn/
http://www.ahmwzjj.gov.cn/welcome/,省民委,安徽省,,,,http://www.ahmwzjj.gov.cn/welcome/
http://www.ahga.gov.cn/,省公安厅,安徽省,,,,http://www.ahga.gov.cn/
http://www.ahjjjc.gov.cn/,省监察厅,安徽省,,,,http://www.ahjjjc.gov.cn/
http://www.ahmz.gov.cn/,省民政厅,安徽省,,,,http://www.ahmz.gov.cn/
http://www.ahsft.gov.cn/,省司法厅,安徽省,,,,http://www.ahsft.gov.cn/
http://www.ahcz.gov.cn/portal/index.htm,省财政厅,安徽省,,,,http://www.ahcz.gov.cn/portal/index.htm
http://www.ah.hrss.gov.cn/web/index.html,省人力资源社会保障厅,安徽省,,,,http://www.ah.hrss.gov.cn/web/index.html
http://www.ahgtt.gov.cn/,省国土资源厅,安徽省,,,,http://www.ahgtt.gov.cn/
http://www.aepb.gov.cn/pages/Home.html,省环境保护厅,安徽省,,,,http://www.aepb.gov.cn/pages/Home.html
http://www.ahjst.gov.cn/front_ahjst/,省住房城乡建设厅,安徽省,,,,http://www.ahjst.gov.cn/front_ahjst/
http://www.ahjt.gov.cn/,省交通运输厅,安徽省,,,,http://www.ahjt.gov.cn/
http://www.ahny.gov.cn,省农业委员会,安徽省,,,,http://www.ahny.gov.cn
http://www.ahsl.gov.cn,省水利厅,安徽省,,,,http://www.ahsl.gov.cn
http://www.ahly.gov.cn/,省林业厅,安徽省,,,,http://www.ahly.gov.cn/
http://www.ahbofcom.gov.cn/,省商务厅,安徽省,,,,http://www.ahbofcom.gov.cn/
http://www.ahwh.gov.cn/,省文化厅,安徽省,,,,http://www.ahwh.gov.cn/
http://www.ahwjw.gov.cn/,省卫生计生委,安徽省,,,,http://www.ahwjw.gov.cn/
http://www.ahsj.gov.cn/,省审计厅,安徽省,,,,http://www.ahsj.gov.cn/
http://www.ahfao.gov.cn/,省外办（省侨办）,安徽省,,,,http://www.ahfao.gov.cn/
http://www.ahgzw.gov.cn/ahgzwweb/web/index.jsp,省国资委,安徽省,,,,http://www.ahgzw.gov.cn/ahgzwweb/web/index.jsp
http://www.ah-l-tax.gov.cn/portal/index.htm,省地税局,安徽省,,,,http://www.ah-l-tax.gov.cn/portal/index.htm
http://www.ahty.gov.cn/,省体育局,安徽省,,,,http://www.ahty.gov.cn/
http://www.ahtjj.gov.cn/tjj/web/index.jsp,省统计局,安徽省,,,,http://www.ahtjj.gov.cn/tjj/web/index.jsp
http://www.ahaic.gov.cn/,省工商局,安徽省,,,,http://www.ahaic.gov.cn/
http://www.ahxg.gov.cn/,省新闻出版广电局,安徽省,,,,http://www.ahxg.gov.cn/
http://www.ahqi.gov.cn/,省质监局,安徽省,,,,http://www.ahqi.gov.cn/
http://www.ada.gov.cn/,省食品药品监管局,安徽省,,,,http://www.ada.gov.cn/
http://www.anhuisafety.gov.cn/,省安监局,安徽省,,,,http://www.anhuisafety.gov.cn/
http://www.ahta.com.cn/zw/,省旅游局,安徽省,,,,http://www.ahta.com.cn/zw/
http://www.ahls.gov.cn/,省粮食局,安徽省,,,,http://www.ahls.gov.cn/
http://www.ahsgj.gov.cn,省管局（省接待办）,安徽省,,,,http://www.ahsgj.gov.cn
http://www.ahfzb.gov.cn/welcome/index.php,省法制办,安徽省,,,,http://www.ahfzb.gov.cn/welcome/index.php
http://www.ahjr.gov.cn,省金融办,安徽省,,,,http://www.ahjr.gov.cn
http://www.ahrfb.gov.cn/,省人防办,安徽省,,,,http://www.ahrfb.gov.cn/
http://www.ahda.gov.cn/,省档案局,安徽省,,,,http://www.ahda.gov.cn/
http://www.ahdkj.gov.cn/,省地矿局,安徽省,,,,http://www.ahdkj.gov.cn/
http://www.ahdfz.gov.cn/,省地方志办,安徽省,,,,http://www.ahdfz.gov.cn/
http://www.dss.gov.cn/,省发展研究中心,安徽省,,,,http://www.dss.gov.cn/
http://www.ahcoop.gov.cn/,省供销社,安徽省,,,,http://www.ahcoop.gov.cn/
http://www.ahxfj.gov.cn/,省信访局,安徽省,,,,http://www.ahxfj.gov.cn/
http://www.ahzw.gov.cn/webmhIndex.action,省政务服务中心,安徽省,,,,http://www.ahzw.gov.cn/webmhIndex.action
http://www.ahpi.gov.cn/,省物价局,安徽省,,,,http://www.ahpi.gov.cn/
http://nyj.ahpc.gov.cn/,省能源局,安徽省,,,,http://nyj.ahpc.gov.cn/
http://gfkgb.ah.gov.cn/,省国防科工办,安徽省,,,,http://gfkgb.ah.gov.cn/
http://www.ah-n-tax.gov.cn/ahtax/index.html,省国税局,安徽省,,,,http://www.ah-n-tax.gov.cn/ahtax/index.html
http://www.ahqx.gov.cn/,省气象局,安徽省,,,,http://www.ahqx.gov.cn/
http://www.anhuimj.gov.cn,省煤矿安全监察局,安徽省,,,,http://www.anhuimj.gov.cn
